 Haemophilus ducreyi,B03.440.450.600.450.125
Religion,K01.844.754
 Somnambulism,C10.886.659.635.700
Canes,E07.858.442.250
 Buffaloes,B01.050.150.900.649.077.380.120
 Vertebrates,B01.050.150.900
 Arthrogryposis,C05.550.150
 Cough,C10.228.140.546.399
 palm oil,D10.251.694.750
 Montana,B01.650.940.800.575.100.401.714
 Onychomycosis,C01.539.800.200.720.550
 Deoxyuracil Nucleotides,D03.383.742.686.850.210
 Hardness,E05.417
Terpenes,D02.455.849
 Mammoths,B01.050.150.900.649.833.500
 African Continental Ancestry Group,M01.686.508.100
Clevudine,@191193
 Sanitation,H02.229.782
 Self Report,E05.318.308.980.500
 Helichrysum,B01.650.940.800.575.100.100.425
 Citalopram,D02.092.831.170
Respiration,E01.370.600.875.875
 Animal Diseases,C22
 Orbit,E04.540.760
 Echinochloa,B01.650.940.800.575.100.822.322
 Coal,D20.633.110
 Permethrin,D02.455.849.575.812.636
 Government Agencies,I01.409.418.750
Needles,C05.116.099.708
 Dental Pulp Necrosis,C07.793.237.315
 Bombs,J01.637.870.175.500
 Sulbactam,D02.065.589.099.750.812
 Food Supply,J01.576.423.750
 Streptomycin,D09.408.051.885
 Fructosephosphates,D09.894.417.313
 Wine,C16.131.831.675
 Wind,G16.500.240.135.249.200
 Burial,I01.076.201.450.550.150
 sultamicillin,@197815
 Cucurbita,B01.650.940.800.575.100.300.222
 Cerebral Cortex,C10.500.507
 Neuritis,C10.668.829.100.500
Zika Virus,B04.820.250.350.995
Alphavirus,C02.782.930.100
 Superstitions,I01.076.201.450.897
 Yukon Territory,Z01.107.567.176.929
 North Sea,Z01.756.092.650
 Ducks,B01.050.150.900.248.050.200
 Peripheral Nervous System,C01.252.200.450
 Rivers,G01.311.750
 Occupational Health,M01.526.485.810.675
 Intracranial Aneurysm,C10.228.140.300.510.600
 Infant Formula,G07.203.100.700.249
 Cestoda,B01.050.500.500.736.215
 Multiple Sclerosis,C10.114.375.500.600
 Appetite,D019167
 Hyssopus Plant,B01.650.940.800.575.100.583.520.330
 Urticaria,C16.320.382.500
 Heart Sounds,G09.330.380.510
Lyssavirus,B04.820.455.750.500
 Aluminum Silicates,D01.056.050.075
Plastics,D05.750.716.195
 Hallucinations,C10.597.606.762.300
Gingiva,C07.465.714.258.447
 Suspensions,E01.370.225.500.620.760.160
 Decanoic Acids,D10.251.175
 Capparis,B01.650.940.800.575.100.177.500
 titanium dioxide,@213861
 Febrile Neutropenia,C15.378.553.546.184.564.750
 Antacids,D000863
 Celiac Disease,C06.405.469.637.250
 Maintenance,D08.811.277.040.025.159.186.900
 Survivors,M01.135.500
 Archives,K01.400.152
 Climate Change,G16.500.240.135.374
 Fabaceae,B01.650.940.800.575.100.401
 Benin,Z01.058.290.190.200
 Carbenicillin,D02.065.589.099.750.750.170.200
Heart Valve Prosthesis,E04.100.376.485
 Australia,Z01.639.100.996
 Menstruation,D008600
 Cryptosporidium parvum,B01.043.075.189.250.150.160.170
 Monobactams,D02.065.589.099.500
 Prescriptions,E02.319.490
Thinking,F02.463.785
 Antitussive Agents,D000996
 Skin Diseases,I01.409.418.750.600.480.425
 Belgium,Z01.542.115
 Virus Internalization,G06.590.875.755
 Personal Space,F01.145.875.596
Armadillos,B01.050.150.900.649.900.200
 Oregon,C10.228.140.163.100.875
 Liver Diseases,C06.552.195
 Sexuality,F01.145.802.975
 Anacardium,B01.650.940.800.575.100.044.705
 Actinobacteria,B03.510.024
 Smoking,J01.637.847
 Estonia,Z01.542.248.136.360
 Spodoptera,A11.251.210.891
 Air Pollution,N06.850.460.100.080
 Levofloxacin,D03.438.810.835.322.500.500
 Valsalva Maneuver,E01.370.370.380.950
 Tonga,Z01.639.760.815.890
 Gels,D02.715.650.700.755
 Neptune,G01.060.249.730.700.796
 Breast Feeding,F01.145.407.199
 Urinary Tract,C23.888.942.343
 Pneumonectomy,E04.928.600.600
 Blast Injuries,C26.120.126
 Cognition,F04.754.137.428
 Cell Nucleus,A11.284.430.106.279.345.447
 Supreme Court Decisions,I01.880.604.583.858
 Pyrimethamine,D03.383.742.675
 Neural Conduction,G07.265.337.600
 brine,B01.050.500.131.365.060.050
 Nova Scotia,C10.228.140.163.100.435.825.700.875
 Morgellons Disease,C17.800.518
 Orthoreovirus,B04.820.630.590.550
 Laboratories,D03.383.663.283.909.750
 Air Conditioning,N06.230.150.050
 Histoplasmosis,C01.703.450
Shoulder,C10.668.829.100.500
 Occultism,K01.672
 Cananga,B01.650.940.800.575.100.065.781
 Medical Marijuana,D26.528
 Iodine,D02.092.471.683.152.535
 Cryotherapy,E02.258
 Menstrual Cycle,G08.686.605
 Sepia,B01.050.500.644.116.150.700
 AO 90,@105571
 Resorcinols,D02.455.426.559.389.657.852
 Magnetic Resonance Spectroscopy,E05.196.867.519.775
 Gardnerella vaginalis,B03.510.024.400.800
 Sensation,C10.597.751.791
 Rest,E06.276.459.733
 Quantitative Trait Loci,G05.360.340.024.380.937
 Pronation,G11.427.590.530.698.840
 Lasers,E07.632.490.230
 Loperamide,D03.383.621.440
 Critical Care Nursing,H02.478.676.175
 Pregnancy,C13.703.733.640
 Biofuels,D20.147
 bismuth subnitrate,@18913
 Glucosides,D02.455.849.575.500.500.500
 Universities,I02.783.830
 Spinal Fusion,E04.555.100.700
 Varenicline,@135970
 Myanmar,Z01.252.145.570
 Gene Expression Regulation,G05.355.315.290
Exhalation,G09.772.770.755.700.275
 Membrane Glycoproteins,D12.776.395.550.550
 Rosa,B01.650.940.800.575.100.842.500.750
 Asia,Z01.252.122
 Oncolytic Virotherapy,E02.095.601
 Emphysema,C23.550.325.500
 Infliximab,D12.776.124.486.485.114.224.608
 Syphilis,C01.252.400.840.744.456.778
 Tyramine,D02.092.211.215.811
 Prostheses and Implants,E07.695
 Rabies virus,B04.820.455.750.500.700
 Fetal Alcohol Spectrum Disorders,C13.703.277.220
 Dogs,B01.050.150.900.649.147.153.700
 Helicobacter pylori,B03.440.500.550
 Leukocytes,A11.118.637.415.583
Conscience,F01.829.500.359
Influenza Vaccines,D20.215.894.899.302
 Thiazoles,D02.886.675
 Programming Languages,L01.224.900.780
 Maximum Allowable Concentration,N06.850.460.350.210
 Leeches,B01.050.500.091.426
Sexual Partners,M01.778
 Food,D005520
 Arbovirus Infections,C02.081
 Plant Tumors,G15.556.700
 Yaws,C01.252.400.840.892
 Temperament,F01.752.898
 Alligators and Crocodiles,B01.050.150.900.833.100
 Craving,F01.658.293.195
 Rifampin,D03.549.811.700
 Meat Products,G07.203.300.600.500
 Neisseria,B03.440.400.425.550.550.800
 Foot,E07.858.442.743.659
 Pharmaceutical Solutions,D26.776.708
 Environmental Exposure,N06.850.460.350
 DNA Fingerprinting,E05.318.740.225.500.500
Sepharose,D09.698.813
 Stents,E07.695.750.500
 Temporomandibular Joint,A02.835.583.861.900
 Pacifiers,E07.490.500
 Rage,F01.470.093.640
Astringents,D001252
 HELLP Syndrome,C13.703.395.186
 Speech Disorders,C10.597.606.150.500.800
 Plant Growth Regulators,D010937
 Electricity,G01.358.500.249.820
 Inulin,D05.750.078.562.855.750
 Bites and Stings,C25.723.127.071
 metaxalone,@217875
 Otters,B01.050.150.900.649.147.550.600
 Preexisting Condition Coverage,N03.219.521.576.585.500
 Cavernous Sinus Thrombosis,C10.228.140.300.525.425.500.375
 Scoliosis,C05.116.900.800.875
Osteopathic Physicians,M01.526.485.810.722
 Fortune,@89016
 Ambulances,J01.937.285.100.100
 Infant,C23.550.260.657
Referral and Consultation,N04.452.758.849
 Lactobacillus,B03.353.750.450.475.700
 lithium cobalt oxide,@134561
 Boston,Z01.107.567.875.550.510.210
Single Person,F01.829.263.315.500.725
 Vicia faba,B01.650.940.800.575.100.401.968.500
 Pleural Cavity,A01.923.761.800.650
 Hashimoto Disease,C19.874.871.102.500
 El Salvador,Z01.107.169.339
 Lythraceae,B01.650.940.800.575.100.665
 Search Engine,L01.470.875
 Hand,D27.505.954.122.187.500
 Salmonella typhi,B03.440.450.425.800.200.800
 Ribavirin,D13.570.800.790
 Bangladesh,Z01.252.245.131
 Croup,B04.820.455.600.650.750.715
 Insulin,D007329
 Writing,L01.143.506.423.906.654
Gardening,J01.040.895
Consciousness,E07.858.195
Quilt,@226402
 Gestures,F01.145.209.530.538.445
 Population Growth,I01.240.600.660
Self Care,E05.599.645
 Neurobiology,H01.158.273.610
 Moths,B01.050.500.131.617.561.650
 Hungary,Z01.586.117
Staphylococcal Infections,C01.252.410.868.820
 Monocytes,A11.118.637.555.283.750
Military Personnel,F01.829.263.435
 Kupffer Cells,A11.329.372.588
 Waste Products,D20.944
 Acetic Acid,D02.092.782.590.401
 Solanum melongena,B01.650.940.800.575.100.905.725.666
 Sleep Stages,F02.830.855.796
 Leg,C05.116.511
 Hypnosis,F01.145.113.680
 Carbohydrate Metabolism,G02.111.087.160
Gravitation,G01.595.060.535
 Hyaline Membrane Disease,C08.381.842.475
 Blood Pressure,G09.330.380.076.347
 Helminthiasis,C03.105.250
 Alopecia,C06.405.469.578
 zileuton,@133400
 Anthracosis,C08.381.483.581.062
 polyol,D02.033.455.250.700.680
 Atmosphere,E07.079
 Caliciviridae Infections,C02.782.160
 Pensions,N01.824.417.510
 Fishes,B01.050.050.286.500
 Aviation,J01.937.285
 Digitorenocerebral Syndrome,@160629
 Insect Repellents,D007302
 Risk Factors,E05.318.740.600.800.725
Video Games,I03.450.642.693.930
 Strabismus,C10.292.562.887
 MVA vaccine,@192843
 Bible,K01.844.188.573
 Liposomes,D008081
Fever,C02.782.930.100.184
 eucalyptol,@53256
Microcomputers,L01.224.230.260.550
 Irritable Bowel Syndrome,C06.405.469.158.272.608
 Central African Republic,Z01.058.290.100.120
 Ligaments,A09.246.631.246.965
 Esthetics,E06.420
 Sorghum,B01.650.940.800.575.100.822.894
 Adenosine,D058918
 Serotonin Uptake Inhibitors,D017367
 Mali,Z01.058.290.190.500
 Iron,D007502
 Proteus vulgaris,B03.440.450.425.600.800
 Male,D005303
 Hygroscopic Agents,D058427
 Clavicle,A02.835.232.087.227
 Baltimore,Z01.107.567.875.500.500.100
 Jasminum,B01.650.940.800.575.100.583.640.416
 kaspar,@48075
 Hypothermia,E04.100.376.374.500
 Cornea,C10.900.300.284.250.124
 Diplomacy,F01.829.316.171
Warfare,D002619
 Lonicera,B01.650.940.800.575.100.180.388
 Precipitating Factors,N05.715.350.200.650
Cues,F02.463.425.234
 Cape Verde,Z01.058.290.190.258
 Ejaculation,C12.294.644.743
 Protective Devices,E07.662.750
 Lissencephaly,C10.500.507.450.249
 Cerumen,D27.505.519.295
 Snoring,C23.888.852.779.850
 Dehydration,C18.452.950.179
 Mycoplasma Infections,C01.252.400.610.610
 Somatoform Disorders,F03.875
 Infant Nutritional Physiological Phenomena,G07.203.650.220.500
 Bordetella pertussis,D08.811.520.650.200.040
 Dinoflagellida,B01.043.214
 Technology Transfer,J01.897.900
 Sierra Leone,Z01.058.290.190.725
 Cell Wall,A11.284.183.200
 Bankruptcy,N03.219.463.045
 West Indies,Z01.107.084
Oral Hygiene,E05.318.308.980.438.300.675
 Shigella,D08.811.277.450.430.700.750.750.100
 Dandruff,C17.800.174.146
 Bermuda,B01.650.940.800.575.100.822.288
 Carbohydrates,D09.301
United States Food and Drug Administration,I01.409.418.750.600.650.760
Sweetening Agents,D013549
 Snow,B01.050.150.900.649.147.354
 Metacarpal Bones,A02.835.232.087.319.550
 Quorum Sensing,G04.299.122.700
 Rheumatic Fever,C01.252.410.890.731
 Phenothiazines,D02.886.369
 Family Practice,H02.403.340.500
 Virion,D12.776.964.970
 tazobactam,@213045
 mustard oil,@141434
 Residence Characteristics,N01.224.791
 Korean War,I01.880.735.950.250.813
 Staphylococcus intermedius,B03.300.390.400.800.750.445
 isobutylparaben,@176293
 Mycoplasma,B03.440.860.580.553.553.770
Occupational Exposure,N06.850.460.350.600
 Hair Follicle,A10.272.497.500
Shigella,D08.811.277.450.430.700.750.750.100
Chamomile,B01.650.940.800.575.100.100.195.744
 Growth Hormone,D12.776.543.750.100.322
Rodentia,B01.050.150.900.649.865
Methylglycosides,D09.408.514
 Live Birth,G08.686.785.760.769.530.249
 Nucleic Acids,D13.444.404
 Piperonyl Butoxide,D03.383.246.118.600
Emotions,F01.470.342
 Primary Health Care,N04.590.233.727
Cannabis,D26.528
Continental Population Groups,M01.686.508
Aedes,B04.280.580.325
Transcription Factors,D12.776.210.500.570.294
 Mouth Diseases,C07.465
 HIV Protease Inhibitors,D017320
 Leptospira interrogans,B03.440.400.425.475.475.400.650
 Psychotherapy,F04.754.775
 Imidazoles,D03.383.129.308
 Rotation,G01.595.560.703
 Needles,C05.116.099.708
 Ilex,B01.650.940.800.575.100.084.500.875
 Chorea,C10.228.662.262.249.937
 Periodontal Ligament,A14.549.167.646.771
 Halitosis,C23.888.821.475
 lead sulfide,@174378
 Stupor,C10.597.606.358.800.500
Malus,B01.650.940.800.575.100.842.500.444
 Czech Republic,Z01.542.248.395
 Diketopiperazines,D03.383.606.385
 Forensic Sciences,I01.198.780
 Electronic Mail,L01.143.506.423.906.377.333
 Bronchodilator Agents,D001993
 Motor Activity,F01.145.632
 Mitochondria,C14.240.400.172
 amsonic acid,@39263
 Rosacea,C17.800.716
 Tli polymerase,@41587
 Abdominal Cavity,A01.923.047.025
 Reference Standards,E05.978.808
 Spinal Puncture,E01.370.225.998.054.790
 Trophoblasts,A11.382.992
 Conduct Disorder,F03.625.094.300
 Missouri,Z01.107.567.875.510.515
 Eye Abnormalities,C11.250
 Bioengineering,J01.293.069
 Blood Donors,M01.898.313
 Lung Neoplasms,C04.588.894.797.520
 Delayed Diagnosis,E01.110
 Recovery Room,H02.478.676.650.650
Ponds,G01.311.718
 Dracaena,B01.650.940.800.575.100.610.277
 Tuberous Sclerosis,C04.445.810
 Streptococcus pyogenes,B03.353.750.737.872.575
Brain Neoplasms,C04.588.614.250.195.205
 Health Expenditures,N03.219.151.450
 Genetic Enhancement,E05.104.500
Snow,B01.050.150.900.649.147.354
 Neurology,H02.403.600
 Los Angeles,Z01.107.567.875.580.200.450
 Cybernetics,L01.143.283
 Baths,E02.056.902
 Mangifera,B01.650.940.800.575.100.044.416
 Astragalus Plant,B01.650.940.800.575.100.401.087
 Minor Surgical Procedures,E04.506
 Blinking,G11.561.600.765.127
 Klebsiella Infections,C01.252.400.310.503
 Daphnia,B01.050.500.131.365.150.200
Skating,I03.450.642.845.700
Jamaica,Z01.107.084.900.525
 Placentation,G08.686.785.760.769.491
 Shellfish,C25.723.415.792
 Proteus Infections,C01.252.400.310.708
 Diet Fads,G07.203.650.240.250
 Extreme Cold,G16.500.750.775.232
 Cell Aging,G04.299.119
 Crime,M01.135
 Selenium,D01.810.950
 leflunomide,@221979
 Sunlight,G01.358.500.505.650.836
Honey,G07.203.300.581
 Cooperative Behavior,G06.590.580
 Seat Belts,E07.700.800
 Caudovirales,B04.123.150
 Shoulder Pain,C05.550.091.700
 Slovakia,Z01.542.248.797
 Human Activities,I03
 borage oil,@211795
Fear,F01.470.132.300
 Self Care,E05.599.645
 Ketorolac Tromethamine,D03.438.473.420.742
Seizures,C10.228.140.490.360.272
 Academies and Institutes,N03.540.052
Food Industry,J01.576.423
 Drug Design,E05.295.500
 Mammals,B01.050.150.900.649.833
 Citrullus,B01.650.940.800.575.100.300.140.500
 Lymphangitis,C15.604.406
 Poecilia,B01.050.150.900.493.850.280.680
 Problem Behavior,F01.145.126.972
 Ochlerotatus,B01.050.500.131.617.289.275.612
 Diaper Rash,C17.800.174.255.400.250
 Chromosomes,A11.284.187.440.500
Abdominal Cavity,A01.923.047.025
Public Health,M01.526.485.650.835
 Cellulitis,C11.675.387
 Viroids,B04.956
Kyphosis,C05.116.821.500.500
 Tremor,C08.360.940.325
 Metatarsal Bones,A02.835.232.043.300.492
Terrorism,I01.198.240.856.800.325
 Mice,B01.050.150.900.649.865.635.505.500.400.025
 Eggs,A05.360.490.690.970
 Pharmacists,M01.526.485.067.735
 Protein Biosynthesis,G02.111.087.675.871
 Shyness,F01.145.813.617
 Universal Precautions,N06.850.780.200.925
 Entomophthorales,B01.300.300.300
Coffee,B01.650.940.800.575.100.401.718
Cell Nucleus,A11.284.430.106.279.345.447
 Acanthaceae,B01.650.940.800.575.100.583.040
 Penicillin G,D02.065.589.099.750.750.695
 Forestry,J01.576.430
 Air,D000396
 Food Assistance,I01.880.787.839.500
 Oligonucleotides,D016376
 Cats,B01.050.150.900.649.147.900
 Motivational Interviewing,F02.784.176.279.500
 Peptides,D12.644.098
 Spirochaetales,C01.252.847
 Althaea,B01.650.940.800.575.100.700.115
 Acne Vulgaris,C17.800.030.150
 Osteitis,C05.116.132.684
Primates,B01.050.150.900.649.801
 United Nations,N03.540.514.718
 resmethrin,@1476
 Public Health Surveillance,E05.318.308.980.438.700.324
Gels,D02.715.650.700.755
 Explosive Agents,D053834
 Earthquakes,G01.311.340.224
 Bluetongue virus,B04.820.630.550.100
 Debridement,E06.721.189.675
 phenothrin,@222076
 Gingiva,C07.465.714.258.447
 Phytochemicals,D03.787
 Neon,E07.632.490.367
 Paper,J01.637.650
 Medical Writing,L01.143.506.423.906.654
 Counseling,F02.784.176.279
Stomach,G03.495.023.500.374.249
Cryotherapy,E02.258
 Wrestling,I03.450.642.845.975
 Tulipa,B01.650.940.800.575.100.610.786
Diptera,B01.050.500.131.617.289
 Odors,G16.500.275.640
 Foodborne Diseases,C25.723.415
 Sweetening Agents,D013549
 Liver Neoplasms,C04.588.274.623.460
Acute Disease,C23.550.291.125
Fetus,A16.378.099
 Cues,F02.463.425.234
 Streptococcus oralis,B03.353.750.737.872.875.600
 Typhoid Fever,C01.252.400.310.821.873
 Giardia,B01.237.385.400
 Architectural Accessibility,J01.086.339.070
 Pharmacy,I02.358.525.741
 DDT,D02.455.526.439.255
 Life Style,F01.829.458
 Edible Grain,A18.024.500.750.500
 Scalp,C17.800.738
 Thiazines,D02.886.665
 Boostrix,@140115
 Medicine,H02.403.645
 Therapeutic Touch,E02.190.525.906
 Abdomen,A01.923.047.025
 Martial Arts,I03.450.642.845.560
 Metagenome,G05.360.340.550
 Penicillanic Acid,D02.065.589.099.750.812
 New Jersey,B04.820.455.750.900.910
Hawks,B01.050.150.900.248.815.350.400
 Flatulence,C23.888.821.360
 Persea,B01.650.940.800.575.100.590.650
 Civil Defense,I01.451.227
Writing,L01.143.506.423.906.654
 Migraine with Aura,C10.228.140.546.399.750.250
 Lunch,F01.145.407.432.500.550
 Viral Vaccines,D20.215.894.899
Lactase,D08.811.277.450.410.100.500
 Carbon,E05.196.867.519.136
 Vesicular Stomatitis,B04.820.455.750.900.910
 Rituximab,@197194
 Myocardial Infarction,C14.280.647.500.187
 Foundations,N03.219.483.311
 Penicillium,B01.300.381.662.592
 Fraud,K01.752.566.479.915.500
 Dysgeusia,C10.597.751.861.479
Cystoscopy,E01.370.388.250.180
 Bile,C06.130.120.250.174
 Bronchiolitis,C08.127.446.135.140.200
 Dimethyl Sulfoxide,D02.886.640.150
 Computers,L01.224.230.260.315
 Antiperspirants,D051520
 Nitrophenols,D02.455.426.559.389.657.566
 Progesterone,D06.472.334.851.687
 Whistleblowing,F01.145.813.963
 Ticarcillin,D02.065.589.099.750.875
 Mycelium,A19.687
 Dimethylpolysiloxanes,D02.715.650.700.150
 Lymphatic System,A15.382.520
 Phytolacca,B01.650.940.800.575.100.809.500.750
 Ebola Vaccines,D20.215.894.899.205
 Camphor,B01.650.940.800.575.100.590.149.249
 Acetoin,D08.811.682.047.820.200
 Bicuspid Aortic Valve,@206935
 Influenza A virus,B04.820.545.405.400.106
 Bone and Bones,A02.835.232
 Barbiturates,D03.383.742.698.253
 Neuralgia,C10.597.617.682.737
 Rats,B01.050.050.136.700
 Heartburn,C23.888.821.525
 Sicily,Z01.542.489.751
 Color,F02.830.816.964.124
 Walking,C23.888.550
 Cobalt,D01.220.175.950
 salicylsalicylic acid,@233009
 Orobanchaceae,B01.650.940.800.575.100.583.670
Hair,C17.800.329.937.122.348
 Actinomycetales,C01.252.410.040
 Trypsin,D014361
 Alcohol Drinking,F01.145.317.269
 Monoterpenes,D02.455.849.575
 Sleep,H02.403.429.865
 Tooth Diseases,C07.793
 Quinolines,D03.438.810
 Cyprinidae,B01.050.150.900.493.200.244
 Sulfites,D01.248.497.158.904
 Millets,B01.650.940.800.575.100.822.871
 Play and Playthings,I03.450.642.693
 Muridae,B01.050.150.900.649.865.635
 Vibrio,D08.811.682.517.500
 Genetic Processes,G05.355
 Candida albicans,B01.300.381.147.326
 United States Agency for International Development,I01.409.418.750.199
Tea,B01.650.940.800.575.100.583.520.729
Food Additives,D005503
 RNA Stability,G02.111.780
 Immunotherapy,E02.095.465.425.450.310.500
 Handwriting,L01.143.506.423.906.539
 Cre recombinase,@132077
Neutropenia,C15.378.553.546.184.564.750
 Hypnotics and Sedatives,D006993
 Dermis,A17.815.180.040
 Music,E02.190.888.500
 Physical Education and Training,I02.233.543
 Grassland,G16.500.275.157.531
 Nitrogen Oxides,D01.362.635
 Magnetics,H01.671.493
 Solar Energy,G01.358.500.505.650.836
Semen,E01.370.225.992
 Purine Nucleosides,D03.438.759.590
Vertigo,C09.218.568.900.883.500
 Gastropoda,B01.050.500.644.400
 Caves,G01.311.169
 temozolomide,@188594
Surgeons,M01.526.485.810.910
 Pelvic Pain,C10.597.617.231.500
 Survival Rate,E05.318.308.985.550.900
 Sex Offenses,I01.198.240.748
 Herpesviridae,C02.256.466
 Rutin,D03.383.663.283.266.450.284.888
 Norepinephrine,D12.776.157.530.450.625.186
 Child,F03.625
 Chile,Z01.107.757.235
 Mass Media,L01.178.590
 Taboo,I01.076.201.450.948
 Safe Sex,F01.145.802.845
 Tuna,B01.050.150.900.493.602.825
 Artemisia,B01.650.940.800.575.100.100.100.144
 Arkansas,Z01.107.567.875.750.110
 Local Government,I01.409.700
 Drinking Water,D01.045.250.875.300
 Videotape Recording,J01.897.280.500.846.734
 Ankle Injuries,C26.558.100
 Vascular Headaches,C10.228.140.300.800
 Mothers,D12.644.360.024.334
 Ecosystem,E05.298
 nitrosamides,@96635
 Base Sequence,G02.111.810.550
 Paint,J01.637.597
 Saimiri,B01.050.150.900.649.801.400.600.150.710.710
 Malpractice,I01.880.604.583.524
 Pancreatic Elastase,D08.811.277.656.300.760.560
 Giardiasis,C03.432.481
 Campylobacter,B03.440.180.800
 Olea,B01.650.940.800.575.100.583.640.666
 Atropa belladonna,B01.650.940.800.575.100.905.049.222
 Hemorrhoids,C06.405.469.860.401
 Reproductive Tract Infections,C01.539.730
 Odonata,B01.050.500.131.617.634
 Social Networking,L01.143.910
 Quantum Dots,E07.705
 Optic Disk,C10.292.700.450
 Steam,E02.056.902
 Nuclear Proteins,D12.776.660
 Retinitis Pigmentosa,C09.218.458.341.186.500.500
 Dental Clinics,N02.278.192.250
 Qigong,E02.190.525.186.500
 Tryptamines,D02.092.211.215.801
 Potassium Channel Blockers,D026902
 Neisseria gonorrhoeae,B03.440.400.425.550.550.474
 Wolbachia,B03.440.647.825
 Tramadol,D02.033.415.510.500.802
 Malaysia,Z01.252.145.487
 Species Specificity,G06.590.470.380
 Incisor,C07.793.494.630.500
 Carica,B01.650.940.800.575.100.192.500
 Gymnastics,I02.233.543.454
 Ethamoxytriphetol,D02.033.375.270
 Virus Diseases,C02
 Antiemetics,D000932
 syncytin,@44220
 Dominican Republic,Z01.107.084.900.300
 Peptide Hydrolases,D08.811.277.656
 rasagiline,@141093
Saudi Arabia,Z01.252.245.500.750
 Semen,E01.370.225.992
 Olive Oil,D10.212.302.380.580
 Cooking,J01.494.300
Variola virus,B04.280.650.160.650.930
 Methylene Chloride,D02.455.526.439.642
 Fascia,A02.633.567.175
 Contact Lenses,E07.632.500.276.360
Retirement,N01.824.417.510.300
 Arecaceae,B01.650.940.800.575.100.093
Religious Missions,K01.844.776
 Inula,B01.650.940.800.575.100.100.471
 Anniversaries and Special Events,K01.400.095
 Common Cold,B04.820.565.775
Sleep,H02.403.429.865
 Internet,L01.224.230.110.500
 Hypericum,B01.650.940.800.575.100.928.249.500
 Sick Leave,N01.824.417.700.662
 Yogurt,G07.203.300.350.525.221.888
 Whey,@22246
 Smell,F02.830.816.643
 Silicosis,C08.381.483.581.760
Bacteria,Y05.070
 Caribbean Region,Z01.107.084
